rainfall,year,month,country
77.641,2010,10,BFA
0.22031,2010,11,BFA
0.01056,2010,12,BFA
0.01423,2011,1,BFA
3.06105,2011,2,BFA
7.63554,2011,3,BFA
28.1664,2011,4,BFA
45.4891,2011,5,BFA
90.8787,2011,6,BFA
162.302,2011,7,BFA
201.182,2011,8,BFA
138.929,2011,9,BFA
40.6553,2011,10,BFA
0.56453,2011,11,BFA
0.22764,2011,12,BFA
0.02239,2012,1,BFA
0.76074,2012,2,BFA
2.52206,2012,3,BFA
36.0128,2012,4,BFA
73.7094,2012,5,BFA
97.3029,2012,6,BFA
213.876,2012,7,BFA
264.683,2012,8,BFA
159.785,2012,9,BFA
38.6234,2012,10,BFA
4.75624,2012,11,BFA
1.10804,2012,12,BFA
0.00013,2013,1,BFA
0.02071,2013,2,BFA
8.49577,2013,3,BFA
54.6364,2013,4,BFA
56.2315,2013,5,BFA
85.372,2013,6,BFA
177.411,2013,7,BFA
242.722,2013,8,BFA
114.383,2013,9,BFA
39.7894,2013,10,BFA
3.43426,2013,11,BFA
0.24939,2013,12,BFA
2.26678,2014,1,BFA
0.19312,2014,2,BFA
9.21834,2014,3,BFA
45.2788,2014,4,BFA
63.2858,2014,5,BFA
110.843,2014,6,BFA
161.696,2014,7,BFA
216.498,2014,8,BFA
176.098,2014,9,BFA
52.9545,2014,10,BFA
6.15622,2014,11,BFA
0.09541,2014,12,BFA
0.01909,2015,1,BFA
6.34734,2015,2,BFA
3.91584,2015,3,BFA
2.79959,2015,4,BFA
37.3518,2015,5,BFA
86.2821,2015,6,BFA
175.45,2015,7,BFA
285.303,2015,8,BFA
116.105,2015,9,BFA
57.8308,2015,10,BFA
1.5799,2015,11,BFA
0.75173,2015,12,BFA
0.49195,2016,1,BFA
0.50516,2016,2,BFA
9.99692,2016,3,BFA
36.5595,2016,4,BFA
79.8154,2016,5,BFA
132.006,2016,6,BFA
212.887,2016,7,BFA
249.923,2016,8,BFA
144.111,2016,9,BFA
18.1812,2016,10,BFA
3.19093,2016,11,BFA
0.06347,2016,12,BFA
2.37197,1991,1,KHM
16.3195,1991,2,KHM
18.7599,1991,3,KHM
56.3142,1991,4,KHM
106.173,1991,5,KHM
226.841,1991,6,KHM
186.085,1991,7,KHM
349.865,1991,8,KHM
390.503,1991,9,KHM
283.913,1991,10,KHM
32.2247,1991,11,KHM
11.8564,1991,12,KHM
56.4439,1992,1,KHM
22.5185,1992,2,KHM
5.19067,1992,3,KHM
23.3099,1992,4,KHM
99.0084,1992,5,KHM
246.597,1992,6,KHM
277.951,1992,7,KHM
371.653,1992,8,KHM
229.282,1992,9,KHM
181.238,1992,10,KHM
21.1667,1992,11,KHM
70.4599,1992,12,KHM
19.8979,1993,1,KHM
2.56685,1993,2,KHM
75.8641,1993,3,KHM
54.4057,1993,4,KHM
114.533,1993,5,KHM
213.94,1993,6,KHM
159.361,1993,7,KHM
298.791,1993,8,KHM
219.159,1993,9,KHM
179.927,1993,10,KHM
25.5286,1993,11,KHM
59.3301,1993,12,KHM
3.92803,1994,1,KHM
21.9365,1994,2,KHM
63.2929,1994,3,KHM
43.7272,1994,4,KHM
180.724,1994,5,KHM
329.331,1994,6,KHM
383.158,1994,7,KHM
407.285,1994,8,KHM
430.28,1994,9,KHM
168.761,1994,10,KHM
64.8484,1994,11,KHM
36.4126,1994,12,KHM
6.11576,1995,1,KHM
7.42069,1995,2,KHM
45.3954,1995,3,KHM
69.4463,1995,4,KHM
145.272,1995,5,KHM
235.664,1995,6,KHM
422.701,1995,7,KHM
199.929,1995,8,KHM
350.319,1995,9,KHM
261.342,1995,10,KHM
94.9542,1995,11,KHM
30.0524,1995,12,KHM
3.51197,1996,1,KHM
14.2147,1996,2,KHM
26.2434,1996,3,KHM
131.206,1996,4,KHM
155.947,1996,5,KHM
224.934,1996,6,KHM
200.494,1996,7,KHM
305.635,1996,8,KHM
441.694,1996,9,KHM
210.206,1996,10,KHM
232.456,1996,11,KHM
5.94935,1996,12,KHM
12.6321,1997,1,KHM
30.2082,1997,2,KHM
63.0588,1997,3,KHM
95.7343,1997,4,KHM
138.242,1997,5,KHM
219.982,1997,6,KHM
282.822,1997,7,KHM
225.884,1997,8,KHM
226.886,1997,9,KHM
236.146,1997,10,KHM
41.8773,1997,11,KHM
27.5276,1997,12,KHM
9.78985,1998,1,KHM
41.3975,1998,2,KHM
19.1257,1998,3,KHM
53.7153,1998,4,KHM
162.127,1998,5,KHM
271.291,1998,6,KHM
160.43,1998,7,KHM
